label_index_08B,class_id,sample_count_total,sample_count_train_original,sample_count_test_original,arabic_label,english_label,final_user_output,arabic_label_needs_fix
0,0001,148,124,24,0,0,0,False
1,0002,150,126,24,1,1,1,False
2,0003,150,126,24,2,2,2,False
3,0004,151,127,24,3,3,3,False
4,0005,183,152,31,4,4,4,False
5,0006,117,100,17,5,5,5,False
6,0007,150,126,24,6,6,6,False
7,0008,151,127,24,7,7,7,False
8,0009,150,126,24,8,8,8,False
9,0010,150,126,24,9,9,9,False
10,0011,150,126,24,10,10,10,False
11,0012,150,126,24,20,20,20,False
12,0013,150,126,24,30,30,30,False
13,0014,150,126,24,40,40,40,False
14,0015,150,126,24,50,50,50,False
15,0016,150,126,24,60,60,60,False
16,0017,150,126,24,70,70,70,False
17,0018,150,126,24,80,80,80,False
18,0019,150,126,24,90,90,90,False
19,0020,150,126,24,100,100,100,False
20,0021,150,126,24,200,200,200,False
21,0022,150,126,24,300,300,300,False
22,0023,150,126,24,400,400,400,False
23,0024,150,126,24,500,500,500,False
24,0025,152,128,24,600,600,600,False
25,0026,153,129,24,700,700,700,False
26,0027,200,168,32,800,800,800,False
27,0028,151,127,24,900,900,900,False
28,0029,155,130,25,1000,1000,1000,False
29,0030,146,123,23,1000000,1000000,1000000,False
30,0031,150,126,24,10000000,10000000,10000000,False
31,0032,149,125,24,ا,alif,ا,False
32,0033,152,128,24,ب,baa,ب,False
33,0034,150,126,24,ت,ta,ت,False
34,0035,150,126,24,ث,tha,ث,False
35,0036,158,132,26,ج,Jiim,ج,False
36,0037,149,127,22,ح,Haa,ح,False
37,0038,150,126,24,خ,kha,خ,False
38,0039,150,126,24,د,daal,د,False
39,0040,150,126,24,ذ,thal,ذ,False
40,0041,150,126,24,ر,raa,ر,False
41,0042,150,126,24,ز,zay,ز,False
42,0043,150,126,24,س,siin,س,False
43,0044,150,126,24,ش,shiin,ش,False
44,0045,150,126,24,ص,Saad,ص,False
45,0046,150,126,24,ض,Daad,ض,False
46,0047,151,127,24,ط,Taa,ط,False
47,0048,150,126,24,ظ,Zaa,ظ,False
48,0049,150,126,24,ع,Ayn,ع,False
49,0050,150,126,24,غ,ghayn,غ,False
50,0051,150,126,24,ف,faa,ف,False
51,0052,150,126,24,ق,qaaf,ق,False
52,0053,150,126,24,ك,kaaf,ك,False
53,0054,151,127,24,ل,laam,ل,False
54,0055,151,127,24,م,miim,م,False
55,0056,150,126,24,ن,noon,ن,False
56,0057,150,126,24,ه,haa,ه,False
57,0058,150,126,24,و,waaw,و,False
58,0059,160,136,24,ي,yaa,ي,False
59,0060,150,126,24,ة,taa marbuuTa,ة,False
60,0061,150,126,24,أ,alif with hamza above,أ,False
61,0062,150,126,24,ؤ,Waaw with hamza,ؤ,False
62,0063,150,126,24,ئ,Alif maqsoura with hamza,ئ,False
63,0064,150,126,24,ئـ,hamza on line,ئـ,False
64,0065,152,128,24,ء,hamza,ء,False
65,0066,152,128,24,إ,alif with hamza below,إ,False
66,0067,150,126,24,آ,ALif with maad,آ,False
67,0068,150,126,24,ى,Alif maqsoura,ى,False
68,0069,150,126,24,لا,laam Alif,لا,False
69,0070,150,126,24,ال,Al,ال,False
70,0071,150,126,24,هيكل عظمي,Skeleton,هيكل عظمي,False
71,0072,150,126,24,جمجة,skull,جمجة,False
72,0073,153,129,24,عمود فقري,Backbone,عمود فقري,False
73,0074,150,126,24,قفص صدري,Chest,قفص صدري,False
74,0075,150,126,24,جهاز تنفسي,Respiratory device,جهاز تنفسي,False
75,0076,150,126,24,قصبة هوائية,Trachea,قصبة هوائية,False
76,0077,150,126,24,رئتان,lungs,رئتان,False
77,0078,150,126,24,شهيق - زفير,Ins and Outs,شهيق - زفير,False
78,0079,150,126,24,جهاز هضمي,digestive system,جهاز هضمي,False
79,0080,150,126,24,وجه,Face,وجه,False
80,0081,150,126,24,بلعوم,pharynx,بلعوم,False
81,0082,150,126,24,كبد,liver,كبد,False
82,0083,153,129,24,البنكرياس,pancreas,البنكرياس,False
83,0084,150,126,24,الأمعاء الدقيقة,Small intestine,الأمعاء الدقيقة,False
84,0085,150,126,24,الأمعاء الغليظة,Large intestine,الأمعاء الغليظة,False
85,0086,150,126,24,الزائدة الدودية,Appendix,الزائدة الدودية,False
86,0087,150,126,24,جهاز عصبي,nervous system,جهاز عصبي,False
87,0088,151,127,24,قلب,heart,قلب,False
88,0089,151,127,24,حواس خمس,five senses,حواس خمس,False
89,0090,151,127,24,عضلة,muscle,عضلة,False
90,0091,151,127,24,أنسجة,tissue,أنسجة,False
91,0092,150,126,24,مستشفى,hospital,مستشفى,False
92,0093,150,126,24,إسعافات أولية,first aid,إسعافات أولية,False
93,0094,151,127,24,جرح نازف,wound,جرح نازف,False
94,0095,150,126,24,حروق,burning,حروق,False
95,0096,150,126,24,مخدر/ بنج,anesthetist,مخدر/ بنج,False
96,0097,154,130,24,عملية جراحية,surgery,عملية جراحية,False
97,0098,150,126,24,شاش / ضمادة,gauze,شاش / ضمادة,False
98,0099,150,126,24,شريط لاصق / بلاستر,adhesive tape,شريط لاصق / بلاستر,False
99,0100,150,126,24,صيدلية,pharmacy,صيدلية,False
100,0101,150,126,24,تحليل دم,blood analysis,تحليل دم,False
101,0102,152,128,24,فحص سريري,physical examination,فحص سريري,False
102,0103,150,126,24,فحص النظر,sight examination,فحص النظر,False
103,0104,159,132,27,ميزان حرارة,thermometer,ميزان حرارة,False
104,0105,145,124,21,سماعة أذن,stethoscope,سماعة أذن,False
105,0106,153,129,24,جهاز قياس الضغط,sphygmometroscope,جهاز قياس الضغط,False
106,0107,150,126,24,نبض القلب,pulse,نبض القلب,False
107,0108,150,126,24,تحليل طبي,analysis,تحليل طبي,False
108,0109,150,126,24,معمل التحاليل / مختبر,analysis laboratory,معمل التحاليل / مختبر,False
109,0110,151,127,24,صورة اشعة,ray photo,صورة اشعة,False
110,0111,150,126,24,التهاب,inflammation,التهاب,False
111,0112,150,126,24,تورم,swelling,تورم,False
112,0113,150,126,24,زكام,cold,زكام,False
113,0114,150,126,24,عدوى,infection,عدوى,False
114,0115,151,127,24,صداع,headache,صداع,False
115,0116,150,126,24,ألم,pain,ألم,False
116,0117,150,126,24,حمى,fever,حمى,False
117,0118,150,126,24,إسهال,diarrhea,إسهال,False
118,0119,150,126,24,إمساك,constipation,إمساك,False
119,0120,150,126,24,مغص,colic,مغص,False
120,0121,153,129,24,مرض السكر / سكري,diabetes,مرض السكر / سكري,False
121,0122,151,127,24,أزمة قلبية,heart attack,أزمة قلبية,False
122,0123,153,129,24,سرطان,cancer,سرطان,False
123,0124,152,128,24,مرض فقدان المناعة / الإيدز,Aids,مرض فقدان المناعة / الإيدز,False
124,0125,152,128,24,تساقط الشعر,Loss of hair,تساقط الشعر,False
125,0126,153,129,24,سكتة قلبية,Heart failure,سكتة قلبية,False
126,0127,153,129,24,شلل نصفي,hemiplegia,شلل نصفي,False
127,0128,154,130,24,شلل دماغي,Cerebral paralysis,شلل دماغي,False
128,0129,152,128,24,ضغط الدم,blood pressure,ضغط الدم,False
129,0130,153,129,24,حساسية,allergy,حساسية,False
130,0131,151,127,24,حكة / هرش,itch,حكة / هرش,False
131,0132,153,129,24,دواء,medicine,دواء,False
132,0133,152,128,24,دورة شهرية,monthly circulation,دورة شهرية,False
133,0134,151,127,24,مريض / مرض,sick,مريض / مرض,False
134,0135,152,128,24,كبسولة,capsule,كبسولة,False
135,0136,152,128,24,دواء شراب,liquid medicine,دواء شراب,False
136,0137,153,129,24,مرهم,ointment,مرهم,False
137,0138,152,128,24,قطارة,dropper,قطارة,False
138,0139,152,128,24,أخذ إبرة,acupuncture,أخذ إبرة,False
139,0140,154,130,24,تلقيح,pollination,تلقيح,False
140,0141,150,126,24,تطعيم,inoculation,تطعيم,False
141,0142,153,129,24,أشعة ليزر,laser ray,أشعة ليزر,False
142,0143,153,129,24,مخدرات,drug's,مخدرات,False
143,0144,153,129,24,إدمان,addiction,إدمان,False
144,0145,153,129,24,توحد / أوتيزم,oneness,توحد / أوتيزم,False
145,0146,152,128,24,منغولي,mongoloid,منغولي,False
146,0147,153,129,24,بكتريا,bacterium,بكتريا,False
147,0148,153,129,24,جرثومة,microbe,جرثومة,False
148,0149,154,130,24,فيروس,virus,فيروس,False
149,0150,152,128,24,إنتشار,spread,إنتشار,False
150,0151,153,129,24,إعاقة,hindrance,إعاقة,False
151,0152,152,128,24,إعاقة ذهنية,mentality hindrance,إعاقة ذهنية,False
152,0153,152,128,24,اعاقة جسدية,physical disability,اعاقة جسدية,False
153,0154,153,129,24,اعاقة بصرية,visual impairment,اعاقة بصرية,False
154,0155,153,129,24,إعاقة سمعية,hearing hindrance,إعاقة سمعية,False
155,0156,154,130,24,وباء,epidemic,وباء,False
156,0157,153,129,24,مناعة,immunity,مناعة,False
157,0158,153,129,24,عصب,nerve,عصب,False
158,0159,153,129,24,معافى,healthy,معافى,False
159,0160,152,128,24,يأكل,eat,يأكل,False
160,0161,152,128,24,يشرب,drink,يشرب,False
161,0162,151,127,24,ينام,sleep,ينام,False
162,0163,125,101,24,يستيقظ,wake up,يستيقظ,False
163,0164,151,127,24,يسمع,hear,يسمع,False
164,0165,151,127,24,يسكت,silence,يسكت,False
165,0166,152,128,24,يشم,inhale,يشم,False
166,0167,151,127,24,يصعد,rise,يصعد,False
167,0168,151,127,24,ينزل,descend,ينزل,False
168,0169,151,127,24,يفتح,open,يفتح,False
169,0170,155,131,24,يقفل ( يغلق ),close,يقفل ( يغلق ),False
170,0171,156,132,24,يبني,build,يبني,False
171,0172,151,127,24,يكسر,break,يكسر,False
172,0173,150,126,24,يمشي,walk,يمشي,False
173,0174,151,127,24,يحب,love,يحب,False
174,0175,124,100,24,يكره,hate,يكره,False
175,0176,151,127,24,يشوي,grill,يشوي,False
176,0177,152,128,24,يحرث,plow,يحرث,False
177,0178,151,127,24,يزرع,plant,يزرع,False
178,0179,150,126,24,يسقي,irrigate,يسقي,False
179,0180,150,126,24,يحصد,harvest,يحصد,False
180,0181,153,129,24,يفكر,think,يفكر,False
181,0182,151,127,24,يساعد,help,يساعد,False
182,0183,152,128,24,يدخن,smoke,يدخن,False
183,0184,125,101,24,يدعم,support,يدعم,False
184,0185,152,128,24,يختار,choose,يختار,False
185,0186,150,126,24,ينادي,call,ينادي,False
186,0187,150,126,24,يتنامى,grow,يتنامى,False
187,0188,152,128,24,يصبغ,dye,يصبغ,False
188,0189,153,129,24,يقف,stand,يقف,False
189,0190,150,126,24,يستحم,bathe,يستحم,False
190,0191,151,127,24,يدخل,enter,يدخل,False
191,0192,152,128,24,أسرة,family,أسرة,False
192,0193,149,125,24,جدة,grandmother,جدة,False
193,0194,150,126,24,جد,grandfather,جد,False
194,0195,150,126,24,أب,father,أب,False
195,0196,151,127,24,أم,mother,أم,False
196,0197,150,126,24,أخت,sister,أخت,False
197,0198,151,127,24,أخ,brother,أخ,False
198,0199,150,126,24,بنت,girl,بنت,False
199,0200,150,126,24,رضيع,baby,رضيع,False
200,0201,150,126,24,توأم,twin,توأم,False
201,0202,150,126,24,رجل,man,رجل,False
202,0203,150,126,24,شاب,young man,شاب,False
203,0204,153,129,24,شابة,young woman,شابة,False
204,0205,150,126,24,حفيد,grandchild,حفيد,False
205,0206,150,126,24,زواج,wedding,زواج,False
206,0207,150,126,24,حمل,pregnant,حمل,False
207,0208,150,126,24,ولادة,childbirth,ولادة,False
208,0209,151,127,24,عم,uncle,عم,False
209,0210,150,126,24,عمة,aunt,عمة,False
210,0211,150,126,24,خال,maternal uncle,خال,False
211,0212,150,126,24,خالة,maternal aunt,خالة,False
212,0213,150,126,24,ابن الأخ,nephew,ابن الأخ,False
213,0214,150,126,24,ابن الأخت,nephew,ابن الأخت,False
214,0215,153,129,24,ابن العم,cousin,ابن العم,False
215,0216,151,127,24,ابن,son,ابن,False
216,0217,151,127,24,ابنة,daughter,ابنة,False
217,0218,150,126,24,ناس,people,ناس,False
218,0219,150,126,24,طلاق,divorce,طلاق,False
219,0220,150,126,24,خطوبة,engagement,خطوبة,False
220,0221,152,128,24,حفلة,party,حفلة,False
221,0222,150,126,24,وفاة,death,وفاة,False
222,0223,151,127,24,طفل,child,طفل,False
223,0224,150,126,24,جميل,beautiful,جميل,False
224,0225,150,126,24,قبيح,ugly,قبيح,False
225,0226,150,126,24,طويل,long,طويل,False
226,0227,150,126,24,قصير,short,قصير,False
227,0228,150,126,24,نحيف,thin,نحيف,False
228,0229,150,126,24,سمين,fat,سمين,False
229,0230,151,127,24,غني,rich,غني,False
230,0231,150,126,24,فقير,poor,فقير,False
231,0232,150,126,24,محبط,offended,محبط,False
232,0233,150,126,24,مشمئز,disgusted,مشمئز,False
233,0234,151,127,24,مرتبك,confused,مرتبك,False
234,0235,149,125,24,قلق,worried,قلق,False
235,0236,149,125,24,مشوش,deranged,مشوش,False
236,0237,151,127,24,خائف,afraid,خائف,False
237,0238,150,126,24,سعيد (مسرور),happy,سعيد (مسرور),False
238,0239,150,126,24,حزين,sad,حزين,False
239,0240,159,135,24,شجاع,courageous,شجاع,False
240,0241,149,125,24,جبان,coward,جبان,False
241,0242,151,127,24,طموح,ambitious,طموح,False
242,0243,156,132,24,معجب,admirable,معجب,False
